惯积岿,林具,荤绊扒荐,荤噶磊荐,吝惑磊荐,版惑磊荐,何惑脚绊磊荐
01,林,9863,145,3000,10779,955
01,具,7105,132,2063,7917,728
02,林,9288,107,2577,9936,892
02,具,6997,115,1886,7594,673
03,林,8859,124,2580,9591,756
03,具,6090,115,1776,6564,556
04,林,9867,117,3006,10577,855
04,具,6319,96,1838,6882,623
05,林,11160,136,3424,11831,1124
05,具,7024,118,2046,7732,634
06,林,11653,111,3504,12394,1104
06,具,7364,143,2110,8042,726
07,林,10830,116,3048,11844,1019
07,具,7472,124,2159,8089,810
08,林,10641,161,3026,11834,1027
08,具,6975,134,2097,7576,704
09,林,11183,164,3085,11874,1025
09,具,6941,137,2109,7127,619
10,林,11764,162,3404,12633,1050
10,具,7491,147,2150,8267,686
11,林,11350,145,3255,12225,942
11,具,7088,116,2040,7607,629
12,林,9938,130,2710,10526,841
12,具,6392,86,1671,6595,616
