"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2014.1/4,2019.4/4,2024.2/4 p),2019,2020,2021,2022,2023
"합계","소계","소계",합계,소계,계,148272,1881628,448904,6004608,6003447,4407910,1855899,1697209
"합계","소계","소계",합계,소계,면세점,-,1655635,257535,5219858,5007939,3423791,1028846,944338
"합계","소계","소계",합계,소계,면세점 이외,-,225993,191369,784750,995508,984119,827053,752871
"합계","소계","소계",컴퓨터 및 주변기기,소계,계,4915,3827,21489,15237,19267,15875,12370,15278
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점,-,70,0,73,3610,0,0,0
"합계","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,-,3757,21489,15164,15657,15875,12370,15278
"합계","소계","소계",가전·전자·통신기기,소계,계,13259,24180,7456,93826,55019,51360,65833,26877
"합계","소계","소계",가전·전자·통신기기,소계,면세점,-,15478,2292,62763,20422,26536,49716,5884
"합계","소계","소계",가전·전자·통신기기,소계,면세점 이외,-,8702,5164,31063,34597,24824,16117,20993
"합계","소계","소계",가전·전자·통신기기,가전·전자,계,-,-,7108,-,-,-,-,20978
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점,-,-,2182,-,-,-,-,5270
"합계","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,4926,-,-,-,-,15708
"합계","소계","소계",가전·전자·통신기기,통신기기,계,-,-,348,-,-,-,-,5899
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점,-,-,110,-,-,-,-,614
"합계","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,238,-,-,-,-,5285
"합계","소계","소계",소프트웨어,소계,계,361,387,27,909,1071,3404,3161,771
"합계","소계","소계",소프트웨어,소계,면세점,-,0,0,0,0,0,0,0
"합계","소계","소계",소프트웨어,소계,면세점 이외,-,387,27,909,1071,3404,3161,771
"합계","소계","소계",서 적,소계,계,1563,6107,1855,24272,27386,32200,23082,14995
"합계","소계","소계",서 적,소계,면세점,-,0,0,0,0,0,0,0
"합계","소계","소계",서 적,소계,면세점 이외,-,6107,1855,24272,27386,32200,23082,14995
"합계","소계","소계",사무·문구,소계,계,2094,1268,5364,5898,5847,9416,10034,7720
"합계","소계","소계",사무·문구,소계,면세점,-,8,77,30,1,88,66,206
"합계","소계","소계",사무·문구,소계,면세점 이외,-,1260,5287,5868,5846,9328,9968,7514
"합계","소계","소계",음반·비디오·악기,소계,계,5427,26899,24527,89433,213843,177308,168173,181745
"합계","소계","소계",음반·비디오·악기,소계,면세점,-,0,0,0,0,0,0,0
"합계","소계","소계",음반·비디오·악기,소계,면세점 이외,-,26899,24527,89433,213843,177308,168173,181745
"합계","소계","소계",의류 및 패션 관련 상품,소계,계,44868,151505,73151,565840,366497,365243,275531,258501
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점,-,74266,20416,262957,36074,28109,11409,49685
"합계","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,-,77239,52735,302883,330423,337134,264122,208816
"합계","소계","소계",스포츠·레저용품,소계,계,2992,3791,2397,18573,21051,16239,11643,9815
"합계","소계","소계",스포츠·레저용품,소계,면세점,-,0,13,4,0,0,0,9
"합계","소계","소계",스포츠·레저용품,소계,면세점 이외,-,3791,2384,18569,21051,16239,11643,9806
"합계","소계","소계",화장품,소계,계,46002,1611309,269914,5020606,5108626,3539810,1122980,1043998
"합계","소계","소계",화장품,소계,면세점,-,1557171,226529,4860812,4942052,3364586,962843,876055
"합계","소계","소계",화장품,소계,면세점 이외,-,54138,43385,159794,166574,175224,160137,167943
"합계","소계","소계",아동·유아용품,소계,계,2268,5609,2449,19109,18377,20864,12182,8231
"합계","소계","소계",아동·유아용품,소계,면세점,-,128,33,902,30,27,3,82
"합계","소계","소계",아동·유아용품,소계,면세점 이외,-,5481,2416,18207,18347,20837,12179,8149
"합계","소계","소계",음·식료품,소계,계,6854,10662,11941,40325,25701,27481,25372,31221
"합계","소계","소계",음·식료품,소계,면세점,-,8264,8105,31165,5662,4443,4804,12231
"합계","소계","소계",음·식료품,소계,면세점 이외,-,2398,3836,9160,20039,23038,20568,18990
"합계","소계","소계",농축수산물,소계,계,3464,40,8,126,150,97,72,39
"합계","소계","소계",농축수산물,소계,면세점,-,0,0,0,0,0,0,0
"합계","소계","소계",농축수산물,소계,면세점 이외,-,40,8,126,150,97,72,39
"합계","소계","소계",생활·자동차용품,소계,계,7233,15527,6613,48771,36644,34264,16911,20450
"합계","소계","소계",생활·자동차용품,소계,면세점,-,86,42,429,49,0,5,116
"합계","소계","소계",생활·자동차용품,소계,면세점 이외,-,15441,6571,48342,36595,34264,16906,20334
"합계","소계","소계",기 타,소계,계,6972,20517,21713,61683,103968,114350,108553,77568
"합계","소계","소계",기 타,소계,면세점,-,164,28,723,39,2,0,70
"합계","소계","소계",기 타,소계,면세점 이외,-,20353,21685,60960,103929,114348,108553,77498
"아시아","소계","소계",합계,소계,계,-,-,349019,-,-,-,-,1391822
"아시아","소계","소계",합계,소계,면세점,-,-,255995,-,-,-,-,940291
"아시아","소계","소계",합계,소계,면세점 이외,-,-,93024,-,-,-,-,451531
"아시아","소계","소계",컴퓨터 및 주변기기,소계,계,-,-,5077,-,-,-,-,3467
"아시아","소계","소계",컴퓨터 및 주변기기,소계,면세점,-,-,0,-,-,-,-,0
"아시아","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,-,-,5077,-,-,-,-,3467
"아시아","소계","소계",가전·전자·통신기기,소계,계,-,-,5580,-,-,-,-,21571
"아시아","소계","소계",가전·전자·통신기기,소계,면세점,-,-,2221,-,-,-,-,5766
"아시아","소계","소계",가전·전자·통신기기,소계,면세점 이외,-,-,3359,-,-,-,-,15805
"아시아","소계","소계",가전·전자·통신기기,가전·전자,계,-,-,5412,-,-,-,-,16535
"아시아","소계","소계",가전·전자·통신기기,가전·전자,면세점,-,-,2117,-,-,-,-,5172
"아시아","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,-,-,3295,-,-,-,-,11363
"아시아","소계","소계",가전·전자·통신기기,통신기기,계,-,-,168,-,-,-,-,5036
"아시아","소계","소계",가전·전자·통신기기,통신기기,면세점,-,-,104,-,-,-,-,594
"아시아","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,-,-,64,-,-,-,-,4442
"아시아","소계","소계",소프트웨어,소계,계,-,-,0,-,-,-,-,172
"아시아","소계","소계",소프트웨어,소계,면세점,-,-,0,-,-,-,-,0
"아시아","소계","소계",소프트웨어,소계,면세점 이외,-,-,0,-,-,-,-,172
"아시아","소계","소계",서 적,소계,계,-,-,588,-,-,-,-,7563
"아시아","소계","소계",서 적,소계,면세점,-,-,0,-,-,-,-,0
"아시아","소계","소계",서 적,소계,면세점 이외,-,-,588,-,-,-,-,7563
"아시아","소계","소계",사무·문구,소계,계,-,-,1949,-,-,-,-,4480
"아시아","소계","소계",사무·문구,소계,면세점,-,-,76,-,-,-,-,206
"아시아","소계","소계",사무·문구,소계,면세점 이외,-,-,1873,-,-,-,-,4274
"아시아","소계","소계",음반·비디오·악기,소계,계,-,-,13333,-,-,-,-,105515
"아시아","소계","소계",음반·비디오·악기,소계,면세점,-,-,0,-,-,-,-,0
"아시아","소계","소계",음반·비디오·악기,소계,면세점 이외,-,-,13333,-,-,-,-,105515
"아시아","소계","소계",의류 및 패션 관련 상품,소계,계,-,-,45479,-,-,-,-,163699
"아시아","소계","소계",의류 및 패션 관련 상품,소계,면세점,-,-,20235,-,-,-,-,49219
"아시아","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,-,-,25244,-,-,-,-,114480
"아시아","소계","소계",스포츠·레저용품,소계,계,-,-,2140,-,-,-,-,8021
"아시아","소계","소계",스포츠·레저용품,소계,면세점,-,-,13,-,-,-,-,9
"아시아","소계","소계",스포츠·레저용품,소계,면세점 이외,-,-,2127,-,-,-,-,8012
"아시아","소계","소계",화장품,소계,계,-,-,248093,-,-,-,-,986675
"아시아","소계","소계",화장품,소계,면세점,-,-,225457,-,-,-,-,873091
"아시아","소계","소계",화장품,소계,면세점 이외,-,-,22636,-,-,-,-,113584
"아시아","소계","소계",아동·유아용품,소계,계,-,-,2084,-,-,-,-,6290
"아시아","소계","소계",아동·유아용품,소계,면세점,-,-,33,-,-,-,-,82
"아시아","소계","소계",아동·유아용품,소계,면세점 이외,-,-,2051,-,-,-,-,6208
"아시아","소계","소계",음·식료품,소계,계,-,-,10011,-,-,-,-,23823
"아시아","소계","소계",음·식료품,소계,면세점,-,-,7891,-,-,-,-,11732
"아시아","소계","소계",음·식료품,소계,면세점 이외,-,-,2120,-,-,-,-,12091
"아시아","소계","소계",농축수산물,소계,계,-,-,0,-,-,-,-,7
"아시아","소계","소계",농축수산물,소계,면세점,-,-,0,-,-,-,-,0
"아시아","소계","소계",농축수산물,소계,면세점 이외,-,-,0,-,-,-,-,7
"아시아","소계","소계",생활·자동차용품,소계,계,-,-,3219,-,-,-,-,12706
"아시아","소계","소계",생활·자동차용품,소계,면세점,-,-,41,-,-,-,-,116
"아시아","소계","소계",생활·자동차용품,소계,면세점 이외,-,-,3178,-,-,-,-,12590
"아시아","소계","소계",기 타,소계,계,-,-,11466,-,-,-,-,47833
"아시아","소계","소계",기 타,소계,면세점,-,-,28,-,-,-,-,70
"아시아","소계","소계",기 타,소계,면세점 이외,-,-,11438,-,-,-,-,47763
